,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,insured_zip_class,policy_duration_days
506,24,IL,500/1000,1000,1143.95,FEMALE,PhD,tech-support,paintball,other-relative,51400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Riverwood,6329 Apache Ave,13,3,NO,2,1,Unknown,5930,5930,41510,Nissan,Ultima,2011,N,46,7383
507,29,IL,100/300,2000,1409.06,MALE,High School,prof-specialty,yachting,husband,74200,-68100,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Northbrook,9293 Pine Lane,0,1,NO,2,2,YES,9680,14520,38720,Accura,MDX,2005,N,61,153
508,24,IN,500/1000,1000,1070.63,FEMALE,High School,machine-op-inspct,board-games,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,9224 Sky Drive,0,3,Unknown,0,1,NO,6160,12320,43120,Honda,CRV,2003,N,46,3337
509,30,IL,500/1000,2000,916.13,MALE,College,sales,golf,unmarried,55300,-58400,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,8862 Maple Ridge,16,3,YES,2,0,NO,6180,12360,55620,Mercedes,E400,2002,N,43,5963
510,38,OH,250/500,500,1191.5,MALE,High School,priv-house-serv,reading,husband,38600,-52900,Single Vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,3492 Flute Lane,8,1,NO,2,0,Unknown,8900,8900,62300,Audi,A3,2015,N,44,1829
511,48,OH,500/1000,1000,1474.66,FEMALE,JD,sales,paintball,husband,0,-46200,Parked Car,No Collision,Trivial Damage,Police,NY,Hillsdale,6484 Tree Drive,9,1,Unknown,2,3,NO,820,820,4920,Volkswagen,Jetta,2003,N,44,4427
512,34,IL,250/500,1000,1193.45,MALE,JD,other-service,hiking,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,4554 Sky Ave,11,1,Unknown,2,1,YES,11760,5880,41160,Nissan,Pathfinder,1997,N,46,3897
513,38,IL,250/500,1000,1437.53,FEMALE,College,transport-moving,chess,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,PA,Northbrook,5201 Texas Hwy,6,3,Unknown,0,2,NO,11940,5970,35820,Dodge,RAM,2013,Y,43,7448
514,60,IL,100/300,2000,1304.83,FEMALE,College,other-service,cross-fit,husband,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Arlington,3982 Weaver Lane,18,1,NO,0,0,NO,5050,10100,45450,Honda,Civic,2001,N,47,6395
515,48,OH,250/500,1000,1168.8,FEMALE,JD,tech-support,movies,other-relative,0,-42400,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3660 Andromedia Hwy,11,1,Unknown,0,3,YES,6500,3250,26000,Mercedes,E400,2001,N,44,8765
516,27,IN,100/300,1000,1164.97,FEMALE,College,adm-clerical,exercise,wife,43000,-42500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,7135 Flute Lane,17,1,Unknown,1,2,YES,3570,7140,32130,Chevrolet,Silverado,2004,N,47,4858
517,39,IL,250/500,1000,1232.72,MALE,High School,armed-forces,hiking,own-child,87800,-51200,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,4414 Solo Drive,21,3,Unknown,1,0,NO,14660,14660,58640,Jeep,Wrangler,1999,Y,45,1126
518,41,IL,250/500,2000,1800.76,MALE,JD,protective-serv,camping,other-relative,0,-78600,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Hillsdale,2920 5th Ave,0,3,NO,1,0,NO,4780,4780,38240,Jeep,Grand Cherokee,2009,N,44,4941
519,43,IL,500/1000,500,1187.01,FEMALE,Associate,tech-support,exercise,unmarried,46300,-33000,Vehicle Theft,No Collision,Trivial Damage,Police,NY,Northbrook,2986 MLK Drive,9,1,NO,0,1,Unknown,640,640,2560,Chevrolet,Tahoe,2014,N,61,8580
520,43,IN,100/300,1000,1559.34,MALE,JD,transport-moving,hiking,own-child,0,-51600,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Riverwood,1580 Maple Lane,1,1,NO,0,2,Unknown,14000,7000,56000,Accura,RSX,2004,N,44,938
521,26,IL,250/500,2000,1137.02,FEMALE,PhD,farming-fishing,skydiving,not-in-family,31500,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,3706 Texas Hwy,22,1,YES,1,3,Unknown,16020,16020,56070,Audi,A5,2003,N,46,182
522,42,IN,100/300,1000,1281.72,MALE,College,farming-fishing,hiking,other-relative,33500,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Northbend,9109 Britain Drive,20,4,NO,0,2,YES,4340,4340,39060,Honda,Civic,2005,N,61,7494
523,30,OH,100/300,1000,796.35,FEMALE,MD,craft-repair,video-games,own-child,72400,-77000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Northbend,2290 4th Ave,9,3,YES,2,1,YES,5360,10720,42880,Ford,F150,2004,N,61,4821
524,46,OH,250/500,500,1270.02,FEMALE,Associate,tech-support,skydiving,own-child,0,-45800,Parked Car,No Collision,Minor Damage,Police,NC,Northbrook,4232 Britain Ridge,5,1,NO,1,2,Unknown,480,240,1440,Toyota,Corolla,2004,N,45,9066
525,26,IL,100/300,1000,1383.13,FEMALE,JD,prof-specialty,exercise,own-child,46700,0,Vehicle Theft,No Collision,Trivial Damage,Police,SC,Riverwood,6677 Andromedia Drive,12,1,YES,1,1,Unknown,530,1060,5300,Jeep,Grand Cherokee,1997,N,61,3259
526,45,IL,100/300,2000,1290.74,FEMALE,High School,prof-specialty,kayaking,husband,58300,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,5868 Sky Hwy,6,3,NO,2,0,YES,7170,14340,57360,Suburu,Legacy,2013,N,43,416
527,47,IN,100/300,1000,1216.68,FEMALE,Masters,sales,basketball,other-relative,55100,0,Vehicle Theft,No Collision,Trivial Damage,Police,SC,Columbus,3053 Lincoln Drive,8,1,NO,1,1,NO,300,300,2100,Ford,F150,2013,N,61,8499
528,54,IL,100/300,500,1251.16,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family,41400,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,7041 Tree Ridge,14,1,Unknown,0,1,NO,6330,6330,63300,Jeep,Grand Cherokee,2010,N,44,4798
529,34,IN,250/500,2000,1586.41,FEMALE,High School,sales,video-games,other-relative,33500,-58900,Single Vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,7223 Embaracadero St,10,1,YES,1,3,Unknown,6870,13740,54960,BMW,X5,2010,Y,60,3575
530,48,IL,500/1000,2000,1526.11,FEMALE,Masters,sales,exercise,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Columbus,8081 Flute Ridge,12,1,Unknown,2,3,YES,15040,15040,60160,Chevrolet,Malibu,1995,N,46,4288
531,53,IN,100/300,1000,1028.44,FEMALE,College,prof-specialty,dancing,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Springfield,8618 Texas Lane,12,1,Unknown,0,0,NO,14720,7360,58880,Accura,MDX,2000,N,60,3360
532,38,IL,100/300,1000,1555.94,MALE,PhD,craft-repair,skydiving,own-child,23300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Riverwood,3508 Washington St,12,3,NO,1,3,YES,6590,13180,59310,Mercedes,C300,2012,N,45,3670
533,49,IN,500/1000,2000,1570.77,MALE,JD,adm-clerical,paintball,not-in-family,98800,-65300,Vehicle Theft,No Collision,Minor Damage,,SC,Columbus,2193 4th Ridge,13,1,NO,0,3,NO,1240,620,4960,Mercedes,ML350,2009,N,44,7643
534,42,OH,100/300,2000,1170.53,FEMALE,PhD,armed-forces,sleeping,wife,65000,-49200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbend,8897 Sky St,17,3,NO,1,2,YES,5690,11380,45520,Nissan,Pathfinder,2006,N,46,6929
535,23,OH,250/500,1000,1099.95,FEMALE,College,sales,dancing,wife,0,-71900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Arlington,9611 Pine Ridge,14,1,NO,1,0,YES,6550,6550,39300,Accura,MDX,2005,Y,47,5513
536,46,IL,250/500,2000,1472.43,MALE,MD,tech-support,basketball,husband,0,-90600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Arlington,7825 1st Ridge,3,3,Unknown,1,3,YES,5780,11560,46240,Volkswagen,Jetta,2004,N,61,3831
537,55,IL,250/500,500,1275.62,FEMALE,Associate,priv-house-serv,reading,other-relative,0,-56200,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,3039 Oak Hwy,18,3,YES,2,1,NO,6140,6140,49120,Nissan,Ultima,1995,N,60,807
538,63,IL,250/500,1000,1292.3,MALE,High School,adm-clerical,paintball,own-child,47600,0,Parked Car,No Collision,Minor Damage,,VA,Northbend,8204 Pine Lane,5,1,YES,1,3,NO,940,470,3290,Dodge,Neon,2007,Y,47,2063
539,44,IN,250/500,2000,1009.37,FEMALE,College,prof-specialty,hiking,other-relative,45400,-39400,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,9787 Andromedia Ave,19,1,NO,0,2,YES,13480,13480,47180,BMW,X5,2015,N,44,5349
540,30,OH,500/1000,500,1093.07,FEMALE,PhD,other-service,reading,wife,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,9633 Rock Hwy,0,1,Unknown,2,2,NO,6930,13860,62370,Volkswagen,Jetta,2011,N,46,4745
541,41,OH,250/500,1000,1325.44,FEMALE,JD,farming-fishing,paintball,other-relative,51400,-6300,Parked Car,No Collision,Trivial Damage,Police,NC,Arlington,6303 1st Drive,22,1,Unknown,0,2,YES,1660,830,8300,Mercedes,E400,2013,N,47,464
542,31,IL,100/300,2000,1017.18,FEMALE,MD,prof-specialty,paintball,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,2014 Rock Ave,21,3,YES,1,3,NO,8740,8740,30590,Saab,92x,2014,N,43,2591
543,25,OH,100/300,1000,1221.17,FEMALE,Masters,protective-serv,golf,not-in-family,49300,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Northbrook,8983 Tree St,4,3,YES,0,0,YES,5670,11340,34020,Suburu,Impreza,1996,N,61,4344
544,40,IN,100/300,500,1927.87,MALE,MD,prof-specialty,yachting,husband,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Arlington,6260 5th Lane,10,1,YES,0,1,Unknown,0,5410,37870,Honda,Civic,1996,Y,60,7533
545,29,IN,250/500,1000,978.27,FEMALE,Associate,sales,paintball,own-child,65700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Hillsdale,2725 Britain Ridge,5,1,Unknown,1,3,NO,15280,7640,53480,Suburu,Forrestor,2003,N,47,579
546,43,IN,100/300,2000,1221.14,MALE,MD,prof-specialty,board-games,wife,48100,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Hillsdale,3089 Oak Ridge,13,1,Unknown,0,2,Unknown,13720,13720,48020,Audi,A5,2002,N,47,4574
547,50,OH,100/300,2000,1255.62,MALE,MD,armed-forces,polo,unmarried,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,OH,Northbrook,6206 3rd Ridge,18,3,YES,2,1,YES,13800,6900,48300,Ford,F150,1995,Y,60,3869
548,38,IN,250/500,500,999.52,MALE,JD,tech-support,golf,other-relative,0,0,Vehicle Theft,No Collision,Minor Damage,Police,VA,Springfield,7240 5th Ridge,6,1,Unknown,1,2,NO,1440,720,6480,Accura,TL,2008,N,61,5869
549,29,OH,250/500,500,1380.89,MALE,PhD,armed-forces,dancing,own-child,30000,-53000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Arlington,8100 3rd Ave,0,3,Unknown,2,1,Unknown,12220,12220,42770,BMW,X6,1996,N,62,181
550,37,IN,500/1000,500,1010.77,MALE,High School,transport-moving,basketball,unmarried,52300,-55600,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NC,Arlington,3282 4th Lane,5,3,Unknown,0,3,NO,4250,4250,34000,Volkswagen,Jetta,1999,N,43,3354
551,53,OH,100/300,500,1205.86,MALE,Associate,armed-forces,basketball,wife,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Arlington,3227 Maple Ave,8,1,YES,0,1,NO,14400,7200,64800,Accura,RSX,2001,N,44,5386
552,51,IL,500/1000,1000,1526.61,MALE,Masters,handlers-cleaners,chess,not-in-family,0,-32900,Vehicle Theft,No Collision,Minor Damage,Police,SC,Hillsdale,4264 Lincoln Ridge,5,1,YES,2,2,Unknown,840,840,2940,Dodge,RAM,2009,Y,47,4813
553,53,IL,100/300,1000,1496.44,FEMALE,High School,tech-support,camping,unmarried,0,0,Parked Car,No Collision,Trivial Damage,Police,NC,Springfield,2215 Best Ave,9,1,YES,2,2,NO,630,1260,5040,Honda,CRV,2013,N,61,286
554,40,IL,100/300,500,1256.2,FEMALE,JD,sales,hiking,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,5363 Weaver Lane,10,3,YES,1,2,YES,8340,8340,25020,Saab,95,2013,N,44,8746
555,51,IL,100/300,500,1268.35,MALE,Masters,transport-moving,board-games,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Northbrook,2397 Cherokee Ave,16,1,YES,2,1,NO,14060,14060,49210,Volkswagen,Jetta,2014,Y,47,8292
556,35,IN,500/1000,2000,1421.59,MALE,College,other-service,sleeping,own-child,0,0,Vehicle Theft,No Collision,Trivial Damage,Police,WV,Arlington,9794 Embaracadero St,8,1,Unknown,2,3,YES,900,450,3600,Ford,F150,2011,N,44,5446
557,26,IL,500/1000,500,1500.04,MALE,PhD,craft-repair,polo,own-child,0,-36500,Vehicle Theft,No Collision,Minor Damage,Police,NC,Northbrook,1810 Elm Hwy,5,1,NO,0,2,YES,860,860,3440,Accura,TL,2004,N,61,7064
558,35,IL,100/300,500,1433.24,FEMALE,College,exec-managerial,yachting,not-in-family,0,-19500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Riverwood,9603 Texas Lane,11,3,NO,2,1,Unknown,2730,2730,19110,Saab,95,2006,Y,47,303
559,38,IN,100/300,2000,1231.25,FEMALE,PhD,craft-repair,movies,not-in-family,46500,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Arlington,5650 Sky Drive,15,3,Unknown,1,0,Unknown,4880,9760,39040,Toyota,Camry,2011,N,60,1443
560,49,IN,500/1000,500,1135.43,MALE,Masters,farming-fishing,bungie-jumping,own-child,22700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Columbus,9633 MLK Lane,23,3,YES,1,1,YES,3900,3900,35100,Chevrolet,Malibu,2010,N,44,6949
561,41,OH,250/500,2000,945.73,MALE,MD,protective-serv,chess,wife,38600,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Arlington,4981 Flute Hwy,23,1,NO,0,0,NO,16820,8410,58870,Ford,Escape,2009,Y,43,8703
562,27,IN,100/300,2000,1118.76,FEMALE,College,adm-clerical,dancing,own-child,0,-55800,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbrook,9078 Francis Ridge,23,1,Unknown,1,3,Unknown,6840,6840,47880,Ford,Fusion,2008,N,47,4625
563,39,IN,500/1000,2000,1231.98,FEMALE,Associate,other-service,hiking,not-in-family,0,-31700,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,1381 Francis Ave,10,1,YES,0,0,Unknown,5530,5530,33180,Dodge,RAM,1997,N,61,5753
564,33,IN,500/1000,2000,1005.47,FEMALE,JD,protective-serv,hiking,own-child,58100,-49000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,Columbus,6435 Texas Ave,12,4,Unknown,2,3,YES,11540,5770,40390,Jeep,Grand Cherokee,2002,N,44,2128
565,50,OH,100/300,2000,1108.97,FEMALE,PhD,exec-managerial,exercise,not-in-family,68400,-66800,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Springfield,1248 MLK Ridge,4,1,NO,2,2,YES,16620,16620,74790,Saab,92x,2002,N,43,8546
566,30,IN,100/300,500,1392.39,FEMALE,High School,exec-managerial,dancing,unmarried,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,3323 1st Lane,16,1,NO,2,0,YES,10860,5430,38010,Toyota,Highlander,2010,N,43,8446
567,54,IN,100/300,2000,1317.97,MALE,High School,craft-repair,movies,wife,34700,-81000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Columbus,6971 Best Ridge,18,3,Unknown,1,2,Unknown,5380,5380,21520,Ford,Fusion,2010,Y,46,996
568,42,IN,250/500,1000,1588.22,MALE,JD,machine-op-inspct,camping,other-relative,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Riverwood,7488 Lincoln Lane,15,3,YES,1,1,NO,16920,8460,59220,Chevrolet,Malibu,2007,N,60,2874
569,35,IL,250/500,500,900.02,MALE,College,craft-repair,camping,own-child,0,-49900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,9007 Francis Hwy,8,1,NO,1,3,YES,6970,6970,55760,BMW,3 Series,2008,N,44,785
570,33,OH,100/300,1000,1744.64,MALE,JD,prof-specialty,movies,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,1491 Francis Ridge,4,3,NO,0,1,NO,3640,7280,25480,Volkswagen,Jetta,1998,N,43,413
571,39,OH,250/500,1000,1260.56,FEMALE,JD,adm-clerical,paintball,own-child,0,-54900,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbrook,3659 Oak Lane,20,3,NO,0,2,YES,4690,4690,28140,Jeep,Wrangler,2010,N,47,3587
572,33,OH,500/1000,2000,1021.14,FEMALE,Masters,other-service,paintball,wife,69500,-47700,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Northbend,4176 Britain Hwy,1,3,NO,2,3,Unknown,14380,14380,50330,Dodge,RAM,2014,N,61,7429
573,54,OH,250/500,2000,1285.09,MALE,JD,farming-fishing,board-games,not-in-family,48000,-79600,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Springfield,5189 Francis Drive,19,1,NO,0,2,YES,7530,15060,45180,Mercedes,ML350,2013,Y,44,4214
574,32,OH,100/300,500,1537.07,MALE,JD,tech-support,chess,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,OH,Northbend,6515 Oak Lane,11,1,NO,1,0,NO,9480,4740,33180,Chevrolet,Silverado,2004,Y,45,155
575,40,IN,100/300,1000,1022.42,MALE,PhD,other-service,skydiving,husband,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Northbend,7168 Andromedia Ridge,13,1,YES,0,2,Unknown,7110,14220,49770,Audi,A3,2008,N,46,1163
576,46,OH,100/300,2000,1558.86,MALE,MD,other-service,dancing,wife,51100,-75100,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,7954 Tree Ridge,2,1,Unknown,2,2,NO,13880,6940,48580,BMW,M5,2012,N,45,8585
577,39,OH,500/1000,500,1757.87,MALE,High School,transport-moving,board-games,not-in-family,71400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Northbrook,1956 Apache St,9,3,YES,2,1,Unknown,5000,10000,40000,Saab,93,1996,Y,45,3975
578,52,IN,250/500,1000,973.5,MALE,PhD,machine-op-inspct,polo,not-in-family,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,9918 Andromedia Drive,15,2,YES,1,3,YES,7860,7860,35370,Toyota,Highlander,2003,N,46,-20
579,34,OH,500/1000,500,1430.8,MALE,PhD,machine-op-inspct,camping,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,5499 Flute Ridge,23,1,Unknown,2,3,NO,6420,19260,38520,Honda,Civic,2007,Y,46,414
580,45,IL,500/1000,500,1192.27,MALE,High School,sales,base-jumping,own-child,0,-40200,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Riverwood,3311 2nd Drive,16,1,NO,2,0,YES,12240,12240,42840,Ford,Fusion,2006,N,60,8849
581,31,IL,250/500,500,1163.83,MALE,Associate,protective-serv,movies,husband,37700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,NC,Arlington,7609 Rock St,21,4,YES,2,0,Unknown,6920,13840,55360,Audi,A5,1999,N,60,231
582,28,OH,500/1000,1000,1003.15,FEMALE,JD,farming-fishing,movies,other-relative,0,-38500,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,Hillsdale,4652 Flute Drive,21,2,YES,2,1,NO,13080,13080,58860,Ford,Fusion,2010,N,46,8460
583,41,OH,250/500,2000,1153.54,MALE,Masters,protective-serv,polo,unmarried,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,6853 Sky Hwy,3,3,NO,0,1,Unknown,12380,12380,43330,Toyota,Corolla,2009,N,61,8899
584,27,IL,100/300,1000,1631.1,FEMALE,High School,priv-house-serv,exercise,wife,0,0,Parked Car,No Collision,Trivial Damage,Police,WV,Arlington,7780 Flute Lane,4,1,Unknown,1,2,NO,670,670,4690,Nissan,Pathfinder,2007,N,43,2166
585,35,IL,500/1000,1000,1252.48,MALE,MD,machine-op-inspct,yachting,wife,0,-55800,Vehicle Theft,No Collision,Minor Damage,,OH,Springfield,1687 3rd Lane,17,1,Unknown,1,3,NO,1020,510,3570,Chevrolet,Malibu,2000,N,43,3495
586,30,IN,100/300,1000,1677.26,MALE,College,sales,yachting,own-child,40100,0,Vehicle Theft,No Collision,Trivial Damage,Police,WV,Springfield,6378 Britain Ave,7,1,YES,1,3,YES,510,510,3570,Volkswagen,Jetta,2013,N,43,7609
587,59,IL,250/500,1000,979.73,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Columbus,1306 Andromedia St,14,2,Unknown,1,2,NO,7240,14480,50680,Chevrolet,Tahoe,1999,Y,60,7498
588,64,IN,250/500,500,989.24,MALE,Masters,other-service,skydiving,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,3664 Francis Ridge,13,1,NO,2,3,NO,14180,7090,49630,Mercedes,ML350,2002,N,61,910
589,25,IL,500/1000,1000,1389.86,FEMALE,Associate,priv-house-serv,hiking,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,5985 Lincoln Lane,23,2,Unknown,2,3,YES,6510,6510,52080,Saab,93,2011,N,47,1143
590,40,OH,100/300,500,1233.85,FEMALE,College,handlers-cleaners,chess,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,Hillsdale,3706 4th Hwy,23,3,Unknown,2,1,YES,0,14280,49980,Ford,Escape,1999,N,45,3655
591,43,IL,500/1000,500,1320.39,FEMALE,Associate,armed-forces,yachting,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,6603 Francis Hwy,16,1,Unknown,2,1,Unknown,7270,21810,50890,Honda,CRV,1996,Y,60,6282
592,41,IN,100/300,1000,1435.09,FEMALE,College,machine-op-inspct,bungie-jumping,not-in-family,36600,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbrook,7069 4th Hwy,17,1,NO,2,0,Unknown,6290,6290,44030,Chevrolet,Tahoe,1995,N,47,3918
593,30,IN,500/1000,500,1448.54,FEMALE,JD,craft-repair,polo,wife,58600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbrook,5093 Flute Lane,9,1,YES,1,1,Unknown,7690,7690,69210,Toyota,Highlander,2000,Y,61,1912
594,38,OH,250/500,500,1733.56,MALE,High School,sales,sleeping,wife,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,5894 Flute Drive,13,3,NO,2,1,YES,7420,14840,44520,Mercedes,ML350,1996,N,44,1938
595,36,IN,100/300,500,1533.07,MALE,JD,farming-fishing,exercise,own-child,0,-28800,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,Springfield,8459 Apache Ave,13,1,YES,1,2,YES,0,6500,52000,Ford,Escape,2001,N,60,1899
596,41,IL,100/300,500,1106.77,FEMALE,College,prof-specialty,golf,other-relative,45500,-62500,Parked Car,No Collision,Trivial Damage,Police,WV,Columbus,7447 Lincoln Ridge,3,1,Unknown,2,0,NO,500,500,4000,Dodge,RAM,2003,N,60,4915
597,29,IL,100/300,500,995.7,FEMALE,JD,priv-house-serv,chess,unmarried,0,0,Parked Car,No Collision,Trivial Damage,Police,PA,Springfield,1821 Andromedia Ridge,3,1,Unknown,2,1,Unknown,500,1000,3500,Mercedes,E400,2008,Y,61,8102
598,41,IL,250/500,1000,1298.85,FEMALE,High School,sales,camping,other-relative,71300,-70300,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Columbus,6859 Flute Ridge,16,3,Unknown,1,3,YES,6050,12100,36300,Saab,92x,2007,N,43,5872
599,38,OH,250/500,1000,1276.73,FEMALE,Masters,handlers-cleaners,bungie-jumping,other-relative,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,4175 Elm Ridge,12,3,NO,1,3,Unknown,6880,6880,48160,Saab,93,2003,N,61,8944
600,29,OH,250/500,2000,1202.28,MALE,High School,exec-managerial,cross-fit,other-relative,0,-61400,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Hillsdale,5007 Oak St,4,1,Unknown,1,2,NO,4370,4370,34960,Nissan,Pathfinder,2007,Y,47,1178
601,31,IN,100/300,500,671.92,MALE,Masters,machine-op-inspct,bungie-jumping,wife,0,-26400,Single Vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,5790 Flute Ridge,3,1,Unknown,2,0,Unknown,7120,7120,49840,Ford,Escape,1997,N,46,9123
602,35,IL,250/500,1000,1358.03,MALE,JD,sales,chess,own-child,59300,-31400,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,Hillsdale,8704 Britain Lane,0,1,NO,2,1,Unknown,10000,10000,35000,Volkswagen,Jetta,2008,Y,61,8848
603,27,IN,250/500,1000,1008.79,FEMALE,Masters,adm-clerical,video-games,own-child,46000,0,Vehicle Theft,No Collision,Trivial Damage,Police,WV,Columbus,7816 MLK Lane,19,1,NO,2,3,Unknown,0,550,3850,Toyota,Camry,2000,N,46,3833
604,27,OH,100/300,1000,1141.1,MALE,JD,armed-forces,movies,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,3618 Maple Lane,15,2,Unknown,0,1,YES,5970,11940,53730,Toyota,Highlander,2008,N,46,7750
605,44,OH,100/300,1000,1397.0,MALE,High School,machine-op-inspct,reading,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NY,Arlington,7705 Lincoln Drive,6,1,NO,1,0,NO,6860,6860,48020,Accura,MDX,1997,N,61,7241
